"Daily deal","Предложение дня"
"Blog","Блог"
"All Categories","Все категории"
"There was no 404 CMS page configured or found.","404 CMS страница не настроена или найдена."
"Enter your e-mail Address","Введите ваш e-mail"
"Go to cart page","Перейти в корзину"
"FILTER","Фильтр"
"View Cart","Посмотреть корзину"
"Go to cart page","Перейти на страницу корзины"
"You've just added this product to the cart:","Вы только что добавили этот продукт в корзину"
"Don't show this popup again","Больше не показывать это окно"
"Go!","Вперед!"
"First and Last Name","Имя и фамилия"
"Choose Shipping Method","Выберите метод доставки"
"Choose Payment Method","Выберите метод оплаты"
"Sku:","Артикул:"
"Create Account","Зарегистрироваться"
"Subscribe to our newsletter","Подписаться на наши новости"
"Quick View","Быстрый просмотр"

"Only %s left","Осталось %s"