"Buy now with 1 Click","Купить в один клик"
"To Cart","В корзину"
"Daily deal","Предложение дня"
"Blog","Блог"
"All Categories","Все категории"
"There was no 404 CMS page configured or found.","404 CMS страница не настроена или найдена."
"Enter your e-mail Address","Введите ваш e-mail"
"Go to cart page","Перейти в корзину"
"FILTER","Фильтр"
"View Cart","Посмотреть корзину"
"Go to cart page","Перейти на страницу корзины"
"You've just added this product to the cart:","Вы только что добавили этот продукт в корзину"
"Don't show this popup again","Больше не показывать это окно"
"Go!","Вперед!"
"First and Last Name","Имя и фамилия"
"Choose Shipping Method","Выберите метод доставки"
"Choose Payment Method","Выберите метод оплаты"
"Sku:","Артикул:"
"Create Account","Зарегистрироваться"
"Subscribe to our newsletter","Подписаться на наши новости"
"Quick View","Быстрый просмотр"
"Only %s left","Осталось %s"
"Comments","Комментарии"
"Name","Имя"
"Description","Описание"
"Short Description","Краткое описание"
"Price","Цена"
"Tax Class","Налоговый класс"
"Description","Описание"
"Short Description","Краткое описание"
"Warehouse City","Склад в городе"
"Select City","Выберите город"
"Warehouse Address","Адрес склада"
"Select Warehouse","Выберите склад"
"Add to Cart","Купить"
"Visa / MasterCard credit cards payment effected through the LiqPay payment system.",""
"Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step.","Платежная система, которая позволяет совершать моментальные платежи с помощью мобильного телефона, интернета и платежных карт Visa, MasterCard во всём мире."
"You will receive an order confirmation email with details of your order and a link to track its progress.","В ближайшее время наш менеджер свяжется с Вами по телефону для уточнения деталей оплаты и доставки, а также Вы получите письмо на ваш адрес электронной почты (email) с подробной информацией о заказе и ссылкой на страницу, на которой можно проверить его текущий статус."
"days","дни"
"day","дни"
"hour","часы"
"min","мин."
"sec","сек."
"There is already a customer registered using this email address.","Пользователь с таким e-mail адресом уже существует."
"Enter a %spassword%s, and we save this order in your personal account.","Введите %sпароль%s и мы сохраним этот заказ в вашем личном кабинете."
"Or %scontinue%s to checkout as a guest and ignore this message.","Или %sигнорируйте%s это сообщение и завершите оформление заказа как гость."
"You have successfully logged in.","Вы были успешно авторизованы."
"Please wait, page will be reloaded...","Подождите пожалуйста, страница сейчас перезагружается..."