"Export catalog config","Export catalog config"
"Edit catalog config","Edit catalog config"
"Name","Name"
"Url","Url"
"Config settings","Config settings"
"Config url","Config url"
"Add not in stock items","Add not in stock items"
"Is active","Is active"
"Min QTY","Min QTY"
"Min price","Min price"
"Max price","Max price"
"bid","bid"
"cbid","cbid"
"Catalogs","Catalogs"
"Config saved","Config saved"
"Config deleted","Config deleted"
"Zero categories was written - yml not created","Zero categories was written - yml not created"
"Zero offers was written - yml not created","Zero offers was written - yml not created"
"For simple model :","For simple model :"
"Run cron","Run cron"
"simple","simple"
"vendor.model","vendor.model"
"smart","smart"
"Export Catalog",Export Catalog",
"Settings","Settings"
"Store name","Store name"
"Company name","Company name"
"Agency that provides technical support for store","Agency that provides technical support for store"
"Offer type","Offer type"
"What attrubute use as model","What attrubute use as model"
"What attrubute use as vendor","What attrubute use as vendor"
"Add related products","Add related products"
"Sales notes rule","Sales notes rule"
"File path","File path"
"Export on save","Export on save"
"Use %attrName% for use product attributes","Use %attrName% for use product attributes"
"Nested only in vendor.model offer type","Nested only in vendor.model offer type"
"Export catalog","Export catalog"
"Config export","Config export"