"Css class", "Css класс"
"Copy to render", "Копировать в рендер"
"Uploaded Image", "Загруженные изображения"
"Browse image", "Выбрать изображение"
"Alt", "Alt"
"[STORE VIEW]", "[представление магазина]"
"Offset", "Порядок"
"Exclude", "Исключить"
"Remove", "Удалить"
"Add new image", "Добавить новое изображение"
"Render", "Рендер"
"Css style", "Css стили"
"Put the carriage to the desired position and press copy button from grid for insert specific image", "Поставьте курсор в нужное место и нажмите в списке кнопку копирующую alt или url определенного изображения"
"Use {{foreach}} looped body {{endforeach}} for loop. Use {{alt[i]}} and {{image[i]}} inside for cycle by images", "Используйте {{foreach}} тело цикла {{endforeach}} для циклов. Используйте {{alt[i]}} и {{image[i]}} в теле цикла для цикла по изображениям"
"Nested loops are not supported", "Вложенные циклы не поддерживаются"
"I know how to use render", "Я знаю как использовать рендер"
"Use Default Value", "Использовать значение по умолчанию"
"Copy url to render", "Копировать url в рендер"
"Copy alt to render", "Копировать alt в рендер"
"Warning: this image not include in this store", "Внимание: это изображение исключено из этого представления магазина"

"Invalid dimension format. Use format like 123px or 34.3% or leave blank", "Неправильный формат. Используйте формат типа 123px или 34.3% или просто оставьте пустым"
"Add px or % to value or leave blank.", "Добавьте px или % к значению или просто оставьте поле пустым"

"Banners", "Баннеры"
"Action","Действие"
"Add Banner","Добавить баннер"
"An error occurred while updating the banner.","Произошла ошибка при обновлении баннера"
"Are you sure?","Вы уверены?"
"Banner was saved","Баннер был сохранен"
"Banner was successfully deleted.","Баннер был удален"
"Banner was successfully saved","Баннер был сохранен"
"Banner","Баннер"
"CSV","CSV"
"Change status","Изменить статус"
"Could not find banner to delete.","Невозможно найти баннер для удаления"
"Created at","Создан в"
"Delete Banner","Удалить баннер"
"Delete","Удалить"
"Disabled","Не активен"
"Edit Banner '%s'","Редактировать баннер '%s'"
"Edit","Редактировать"
"Enabled","Активен"
"Error saving banner","Произошла ошибка при сохранении баннера"
"Excel","Excel"
"Height","Высота"
"Home","Домой"
"Id","Id"
"Images","Изображения"
"Name","Имя"
"No","Нет"
"None","Пусто"
"Please select banner to delete.","Пожалуйста, выберите баннер для удаления"
"Please select banner.","Пожалуйста, выберите баннер"
"Render","Рендер"
"Reset","Сбросить"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Banner","Сохранить баннер"
"Status","Статус"
"Store views","Представления магазинов"
"The banner has been deleted.","Баннер был удален"
"There was a problem saving the banner.","Возникли проблемы при сохранении баннера"
"There was an error deleting banner.","Возникли проблемы при удаении баннера"
"There was an error updating banner.","Возникли проблемы при обновлении баннера"
"This banner no longer exists.","Этот баннер уже не существует"
"Total of %d banner were successfully deleted.","Всего %d баннеров было удалено"
"Total of %d banner were successfully updated.","Всего %d баннеров было обновлено"
"Total of %d record(s) have been deleted.","Всего %d записей было удалео"
"Total of %d record(s) have been updated.","Всего %d записей было обновлено"
"Unable to find banner to save.","Невозможно найти баннер для сохранения"
"Updated at","Обновлено в"
"Use Breadcrumbs","Использовать крошки"
"WYSIWYG Editor","WYSIWYG редактор"
"Width","Ширина"
"XML","XML"
"Yes","Да"