"Settings","Настройки"
"Enabled","Включено"
"Order Tracker","Трекинг Заказов"
"Shipping method doesn't support tracking","Данный метод доставки не поддерживает трекинг"
"Tracking","Трекинг"
"Order Tracking","Трекинг Заказа"
"Tracking is not available now","Трекинг не доступен сейчас"
"Order status is not available","Статус заказа недоступен"
"Address is not available","Адрес заказа недоступен"
"Status: ","Статус: "
"Address: ","Адрес: "
"Sync","Синхронизация"
"Start Time","Время Сихронизации"
"Frequency","Частота"
"Run","Запустить"
"Sync all","Синхронизировать все"
"Refresh","Обновить"